dataset,algorithm,repetition,fold,tp,tn,fp,fn,train_time,predict_time
hepmass_ir4,smote_gbt_100.csv,2,1,517926,2422811,201526,137347,1267190113674,2260
hepmass_ir4,smote_gbt_100.csv,2,2,518067,2424406,201381,137900,1111710821973,1703
hepmass_ir4,smote_gbt_100.csv,3,1,517281,2425726,198075,138353,1158780541654,1727
hepmass_ir4,smote_gbt_100.csv,3,2,518142,2422080,204243,137464,1186537945214,1937
hepmass_ir4,smote_gbt_100.csv,4,1,516929,2423021,203698,139501,1148723072807,2069
hepmass_ir4,smote_gbt_100.csv,4,2,517261,2422001,201404,137549,1398657891898,1887
hepmass_ir4,smote_gbt_100.csv,5,1,517777,2426583,199410,138750,1446796861661,1924
hepmass_ir4,smote_gbt_100.csv,5,2,516508,2426101,198030,138205,1429799981503,2292
kddcup_normal_vs_dos,ros_rf_100.csv,1,1,486975,1939670,1730,2,72070618254,4663
kddcup_normal_vs_dos,ros_rf_100.csv,1,2,485804,1940383,1587,0,50675718214,3484
kddcup_normal_vs_dos,ros_rf_100.csv,2,1,485637,1939406,1761,1,56792083363,4368
kddcup_normal_vs_dos,ros_rf_100.csv,2,2,487141,1940478,1725,2,58726901950,2951
kddcup_normal_vs_dos,ros_rf_100.csv,3,1,486227,1939111,1849,0,39271315339,2117
kddcup_normal_vs_dos,ros_rf_100.csv,3,2,486552,1940695,1715,2,45103985236,4404
kddcup_normal_vs_dos,ros_rf_100.csv,4,1,486380,1941393,1534,5,52921697326,3371
kddcup_normal_vs_dos,ros_rf_100.csv,4,2,486396,1938697,1746,0,56573470632,3819
kddcup_normal_vs_dos,ros_rf_100.csv,5,1,486528,1941421,1706,1,42830267825,2935
kddcup_normal_vs_dos,ros_rf_100.csv,5,2,486250,1938443,1800,2,53615079288,4551
hepmass_ir4,smote_rf_100.csv,1,1,563130,2059841,565674,92456,393655014990,4110
hepmass_ir4,smote_rf_100.csv,1,2,563382,2062430,562179,92272,368361032153,2624
hepmass_ir4,smote_rf_100.csv,2,1,563671,2063083,560628,92430,366272841819,2776
hepmass_ir4,smote_rf_100.csv,2,2,562900,2060469,565944,92239,308262598334,3096
hepmass_ir4,smote_rf_100.csv,3,1,563715,2056879,567413,91443,331925989928,3305
hepmass_ir4,smote_rf_100.csv,3,2,562262,2063756,562076,93820,388364891514,3469
hepmass_ir4,smote_rf_100.csv,4,1,562801,2064913,561947,92893,382462960418,3051
hepmass_ir4,smote_rf_100.csv,4,2,563610,2059205,564059,91936,347201325362,3595
hepmass_ir4,smote_rf_100.csv,5,1,563598,2061856,565122,92038,331966237612,5456
hepmass_ir4,smote_rf_100.csv,5,2,563007,2061823,561323,92597,310542662053,3121
kddcup_normal_vs_dos,ros_gbt_100.csv,1,1,486971,1941321,79,6,1450252035561,5699
kddcup_normal_vs_dos,ros_gbt_100.csv,1,2,485795,1941905,65,9,1686713710080,3686
kddcup_normal_vs_dos,ros_gbt_100.csv,2,1,486466,1940380,72,3,2328467190811,4871
kddcup_normal_vs_dos,ros_gbt_100.csv,2,2,486306,1942806,112,6,1662127943666,2359
kddcup_normal_vs_dos,ros_gbt_100.csv,3,1,485234,1941540,135,9,2330292176577,1858
kddcup_normal_vs_dos,ros_gbt_100.csv,3,2,487531,1941619,76,7,2113614010459,3041
kddcup_normal_vs_dos,ros_gbt_100.csv,4,1,486349,1942203,100,5,1412957769094,3697
kddcup_normal_vs_dos,ros_gbt_100.csv,4,2,486417,1941008,59,10,2510915927747,3382
kddcup_normal_vs_dos,ros_gbt_100.csv,5,1,486662,1942702,76,4,2078369735684,4789
kddcup_normal_vs_dos,ros_gbt_100.csv,5,2,486104,1940508,84,11,1308025349245,1940
kddcup_normal_vs_dos,rose_rf_100.csv,1,1,484520,1938656,2744,2457,94887615915,3302
kddcup_normal_vs_dos,rose_rf_100.csv,1,2,483965,1938803,3167,1839,100140256304,5861
kddcup_normal_vs_dos,rose_rf_100.csv,2,1,482729,1938113,2623,3225,117211567631,2887
kddcup_normal_vs_dos,rose_rf_100.csv,2,2,484140,1940967,1667,2687,107637001984,4824
kddcup_normal_vs_dos,rose_rf_100.csv,3,1,484715,1939227,1598,1691,118328451747,4486
kddcup_normal_vs_dos,rose_rf_100.csv,3,2,484960,1940943,1602,1415,65052652067,3968
kddcup_normal_vs_dos,rose_rf_100.csv,4,1,486768,1939120,2573,292,83116395895,2876
kddcup_normal_vs_dos,rose_rf_100.csv,4,2,483976,1940080,1597,1745,77264719185,3015
kddcup_normal_vs_dos,rose_rf_100.csv,5,1,483676,1941459,1659,3214,68044469381,2824
kddcup_normal_vs_dos,rose_rf_100.csv,5,2,484476,1937217,3035,1415,61373191989,3127
kddcup_normal_vs_dos,rus_gbt_100.csv,1,1,486969,1941264,136,8,1251375232411,5163
kddcup_normal_vs_dos,rus_gbt_100.csv,1,2,485799,1941866,104,5,1308539855278,4436
kddcup_normal_vs_dos,rus_gbt_100.csv,2,1,486321,1940362,112,2,1132099473340,1960
kddcup_normal_vs_dos,rus_gbt_100.csv,2,2,486451,1942687,209,7,821927622687,2040
kddcup_normal_vs_dos,rus_gbt_100.csv,3,1,486037,1940922,192,4,827156513368,3313
kddcup_normal_vs_dos,rus_gbt_100.csv,3,2,486735,1942081,175,5,803751808321,1882
kddcup_normal_vs_dos,rus_gbt_100.csv,4,1,487912,1941248,104,4,824996631928,2363
kddcup_normal_vs_dos,rus_gbt_100.csv,4,2,484862,1941932,86,3,802280150462,2805
kddcup_normal_vs_dos,rus_gbt_100.csv,5,1,486725,1942819,118,14,1015297939474,2366
kddcup_normal_vs_dos,rus_gbt_100.csv,5,2,486036,1940308,125,6,1305621831354,1907
kddcup_dos_vs_r2l,smote_gbt_100.csv,1,1,531,1941273,0,2,1132117295947,2909
kddcup_dos_vs_r2l,smote_gbt_100.csv,1,2,591,1942095,2,2,1081925100804,2007
kddcup_dos_vs_r2l,smote_gbt_100.csv,2,1,540,1940086,3,6,1345946433923,2434
kddcup_dos_vs_r2l,smote_gbt_100.csv,2,2,578,1943279,2,2,1713531295190,3669
kddcup_dos_vs_r2l,smote_gbt_100.csv,3,1,557,1940718,1,1,1549855831202,2068
kddcup_dos_vs_r2l,smote_gbt_100.csv,3,2,564,1942651,0,4,972131735490,1621
kddcup_dos_vs_r2l,smote_gbt_100.csv,4,1,583,1941535,3,1,953543138368,2407
kddcup_dos_vs_r2l,smote_gbt_100.csv,4,2,541,1941828,4,1,978610638303,1395
kddcup_dos_vs_r2l,smote_gbt_100.csv,5,1,538,1942809,3,5,952737426250,2206
kddcup_dos_vs_r2l,smote_gbt_100.csv,5,2,579,1940554,4,4,939131217458,1660
kddcup_normal_vs_dos,smote_rf_100.csv,1,1,486974,1939508,1892,3,332837749336,7715
kddcup_normal_vs_dos,smote_rf_100.csv,1,2,485804,1940306,1664,0,303126240506,5156
kddcup_normal_vs_dos,smote_rf_100.csv,2,1,486433,1938501,1723,5,399215994469,7239
kddcup_normal_vs_dos,smote_rf_100.csv,2,2,486342,1941329,1817,1,337080391103,5239
kddcup_normal_vs_dos,smote_rf_100.csv,3,1,485735,1939772,1732,3,321199686746,5057
kddcup_normal_vs_dos,smote_rf_100.csv,3,2,487040,1940089,1777,3,358454974035,5896
kddcup_normal_vs_dos,smote_rf_100.csv,4,1,486777,1940811,1788,0,328228739519,5697
kddcup_normal_vs_dos,smote_rf_100.csv,4,2,485998,1938983,1788,6,351694437328,5098
kddcup_normal_vs_dos,smote_rf_100.csv,5,1,487075,1940772,1816,3,313452778246,7261
kddcup_normal_vs_dos,smote_rf_100.csv,5,2,485697,1939247,1535,6,275564075951,2825
kddcup_normal_vs_dos,smote_gbt_100.csv,1,1,486970,1941345,55,7,2340486411731,1814
kddcup_normal_vs_dos,smote_gbt_100.csv,1,2,485798,1941908,62,6,2377969993913,2088
kddcup_normal_vs_dos,smote_gbt_100.csv,2,1,486733,1939862,126,8,2553818720611,5957
kddcup_normal_vs_dos,smote_gbt_100.csv,2,2,486032,1943321,61,8,2699926662123,3451
kddcup_normal_vs_dos,smote_gbt_100.csv,3,1,485677,1941378,109,9,1993460641615,1759
kddcup_normal_vs_dos,smote_gbt_100.csv,3,2,487092,1941789,94,3,2647351173838,5093
kddcup_normal_vs_dos,smote_gbt_100.csv,4,1,485791,1942704,133,10,2533361017494,3785
kddcup_normal_vs_dos,smote_gbt_100.csv,4,2,486972,1940463,70,8,2805632445301,4548
kddcup_normal_vs_dos,smote_gbt_100.csv,5,1,487101,1942691,60,16,1571218159067,1341
kddcup_normal_vs_dos,smote_gbt_100.csv,5,2,485657,1940558,61,7,1566297293461,3487
ecbdl14_1m,rus_rf_100.csv,1,1,7436,355515,133535,3304,47903492961,9315
ecbdl14_1m,rus_rf_100.csv,1,2,7543,353556,135522,3305,25365229383,4820
ecbdl14_1m,rus_rf_100.csv,2,1,7410,355649,133072,3380,26606209586,8283
ecbdl14_1m,rus_rf_100.csv,2,2,7568,351474,137933,3230,72312157888,4290
ecbdl14_1m,rus_rf_100.csv,3,1,7400,352116,136923,3252,31037888131,10625
ecbdl14_1m,rus_rf_100.csv,3,2,7672,351424,137665,3264,27863086370,7193
ecbdl14_1m,rus_rf_100.csv,4,1,7416,354497,135733,3257,33560041153,4936
ecbdl14_1m,rus_rf_100.csv,4,2,7581,352800,135098,3334,19244269946,5106
ecbdl14_1m,rus_rf_100.csv,5,1,7627,352802,136771,3361,27858834244,5915
ecbdl14_1m,rus_rf_100.csv,5,2,7351,351442,137113,3249,27401157936,6196
kddcup_normal_vs_dos,rose_gbt_100.csv,1,1,486399,1938288,3112,578,2511192271742,3191
kddcup_normal_vs_dos,rose_gbt_100.csv,1,2,485483,1938346,3624,321,2451838781405,1557
kddcup_normal_vs_dos,rose_gbt_100.csv,2,1,485344,1937880,2986,514,3152978582440,6619
kddcup_normal_vs_dos,rose_gbt_100.csv,2,2,486519,1939175,3329,404,4077468559305,3249
kddcup_normal_vs_dos,rose_gbt_100.csv,3,1,485696,1937871,3246,494,3424121718885,5767
kddcup_normal_vs_dos,rose_gbt_100.csv,3,2,485981,1939340,2913,610,3935786214938,5479
kddcup_normal_vs_dos,rose_gbt_100.csv,4,1,486332,1939359,2959,460,3785814829232,1339
kddcup_normal_vs_dos,rose_gbt_100.csv,4,2,485458,1938398,2654,531,3539030893261,3229
kddcup_normal_vs_dos,rose_gbt_100.csv,5,1,485527,1940625,2709,626,3845641797505,3094
kddcup_normal_vs_dos,rose_gbt_100.csv,5,2,486120,1937038,2998,508,3040275667298,3020
ecbdl14_1m,rus_gbt_100.csv,1,1,7966,346869,142181,2774,1563299833938,10980
ecbdl14_1m,rus_gbt_100.csv,1,2,7854,351100,137978,2994,1795378459447,9709
ecbdl14_1m,rus_gbt_100.csv,2,1,7806,351694,136866,3003,1687478926630,26788
ecbdl14_1m,rus_gbt_100.csv,2,2,7813,351198,138370,2966,1237494597056,23757
ecbdl14_1m,rus_gbt_100.csv,3,1,7722,348364,140616,2922,1494720840793,11996
ecbdl14_1m,rus_gbt_100.csv,3,2,8110,343517,145631,2834,1811858867624,26427
ecbdl14_1m,rus_gbt_100.csv,4,1,8082,345704,144341,2821,1743122744005,15227
ecbdl14_1m,rus_gbt_100.csv,4,2,7787,346197,141886,2898,1313154365659,5425
ecbdl14_1m,rus_gbt_100.csv,5,1,7968,348488,141068,3000,1394923283565,9636
ecbdl14_1m,rus_gbt_100.csv,5,2,7687,348892,139680,2933,1674891039551,10382
ecbdl14_1m,rose_gbt_100.csv,1,1,8328,298123,190927,2412,3109451445334,4654
ecbdl14_1m,rose_gbt_100.csv,1,2,8362,304750,184328,2486,2616282382803,7132
ecbdl14_1m,rose_gbt_100.csv,2,1,8178,309863,178993,2604,3473513104747,5180
ecbdl14_1m,rose_gbt_100.csv,2,2,8448,298062,191210,2358,2361681409241,7186
ecbdl14_1m,rose_gbt_100.csv,3,1,8306,306507,182240,2534,2081911001669,4969
ecbdl14_1m,rose_gbt_100.csv,3,2,8165,309336,180045,2583,2040198085537,5760
ecbdl14_1m,rose_gbt_100.csv,4,1,8375,291228,198881,2324,1995944084454,4092
ecbdl14_1m,rose_gbt_100.csv,4,2,8204,313082,174937,2685,2005603463086,7041
ecbdl14_1m,rose_gbt_100.csv,5,1,8281,308156,181495,2602,2176750555566,4046
ecbdl14_1m,rose_gbt_100.csv,5,2,8167,308548,179929,2538,2097809427112,5971
ecbdl14_1m,ros_gbt_100.csv,1,1,7422,378225,110825,3318,1829261659978,18577
ecbdl14_1m,ros_gbt_100.csv,1,2,7394,377131,111947,3454,2383114789951,11269
ecbdl14_1m,ros_gbt_100.csv,2,1,7271,377388,111153,3522,2227231792810,11179
ecbdl14_1m,ros_gbt_100.csv,2,2,7430,377323,112264,3365,1716293945994,4257
ecbdl14_1m,ros_gbt_100.csv,3,1,7411,379455,109229,3497,1789827227530,13450
ecbdl14_1m,ros_gbt_100.csv,3,2,7398,373899,115545,3282,2272332152689,8137
ecbdl14_1m,ros_gbt_100.csv,4,1,7364,381628,108272,3390,2408209797748,9477
ecbdl14_1m,ros_gbt_100.csv,4,2,7355,377640,110588,3479,1671877324433,7706
ecbdl14_1m,ros_gbt_100.csv,5,1,7509,376547,113162,3354,1828190717141,10327
ecbdl14_1m,ros_gbt_100.csv,5,2,7390,376278,112141,3335,2272016415906,33439
ecbdl14_1m,rose_rf_100.csv,1,1,7138,347378,141672,3602,134881003558,5157
ecbdl14_1m,rose_rf_100.csv,1,2,7170,346113,142965,3678,107395324336,8685
ecbdl14_1m,rose_rf_100.csv,2,1,7321,342516,146211,3437,137125168872,9685
ecbdl14_1m,rose_rf_100.csv,2,2,7355,337029,152372,3475,102920622108,7196
ecbdl14_1m,rose_rf_100.csv,3,1,7299,344233,144582,3615,130285939299,10804
ecbdl14_1m,rose_rf_100.csv,3,2,7160,345101,144212,3514,113567715512,16404
ecbdl14_1m,rose_rf_100.csv,4,1,7071,354748,135394,3652,143586309496,4363
ecbdl14_1m,rose_rf_100.csv,4,2,7254,339855,148131,3611,128364625133,26679
ecbdl14_1m,rose_rf_100.csv,5,1,7326,335368,154417,3385,245622989408,5824
ecbdl14_1m,rose_rf_100.csv,5,2,7311,346353,141990,3566,157629541067,11458
ecbdl14_1m,smote_gbt_100.csv,1,1,1588,476994,12056,9152,1547187986320,4795
ecbdl14_1m,smote_gbt_100.csv,1,2,1307,479762,9316,9541,1473467770852,6646
ecbdl14_1m,smote_gbt_100.csv,2,1,2178,474453,14113,8745,1418004016562,3324
ecbdl14_1m,smote_gbt_100.csv,2,2,1386,478598,10964,9279,1393592081432,4605
ecbdl14_1m,smote_gbt_100.csv,3,1,912,482363,6457,9848,1547576813142,3279
ecbdl14_1m,smote_gbt_100.csv,3,2,2325,473968,15340,8503,1499524255612,10482
ecbdl14_1m,smote_gbt_100.csv,4,1,2813,471187,18834,8126,1543834265471,3908
ecbdl14_1m,smote_gbt_100.csv,4,2,537,484751,3356,10112,1517183061094,4203
ecbdl14_1m,smote_gbt_100.csv,5,1,1081,482488,7349,9739,1443530490951,3812
ecbdl14_1m,smote_gbt_100.csv,5,2,2144,473163,15128,8624,1481527389940,3431
ecbdl14_1m,ros_rf_100.csv,1,1,7525,351898,137152,3215,33000042731,4867
ecbdl14_1m,ros_rf_100.csv,1,2,7499,354755,134323,3349,54458095736,7348
ecbdl14_1m,ros_rf_100.csv,2,1,7539,351962,137000,3157,26890756646,5482
ecbdl14_1m,ros_rf_100.csv,2,2,7459,355303,133863,3433,27064506751,5355
ecbdl14_1m,ros_rf_100.csv,3,1,7540,353605,135279,3298,29140571020,4981
ecbdl14_1m,ros_rf_100.csv,3,2,7471,354040,135204,3279,27892159028,5556
ecbdl14_1m,ros_rf_100.csv,4,1,7524,352583,137373,3286,32425915117,5359
ecbdl14_1m,ros_rf_100.csv,4,2,7548,351822,136350,3230,28529211758,4916
ecbdl14_1m,ros_rf_100.csv,5,1,7518,354349,135448,3294,28650419094,4092
ecbdl14_1m,ros_rf_100.csv,5,2,7517,351047,137284,3259,26843118943,4186
ecbdl14_1m,smote_rf_100.csv,1,1,5904,396162,92888,4836,167867199178,5723
ecbdl14_1m,smote_rf_100.csv,1,2,5819,395292,93786,5029,144330830940,5254
ecbdl14_1m,smote_rf_100.csv,2,1,5675,398061,90957,4886,150108133685,6227
ecbdl14_1m,smote_rf_100.csv,2,2,5900,395805,93305,5127,172522756355,5189
ecbdl14_1m,smote_rf_100.csv,3,1,5827,398000,90715,5044,172113390650,4397
ecbdl14_1m,smote_rf_100.csv,3,2,5837,395719,93694,4880,168604560215,4328
ecbdl14_1m,smote_rf_100.csv,4,1,5816,400168,89727,5072,164580830712,5206
ecbdl14_1m,smote_rf_100.csv,4,2,5798,394298,93935,4902,159032615852,5488
ecbdl14_1m,smote_rf_100.csv,5,1,5847,398366,91289,5004,186646482547,4744
ecbdl14_1m,smote_rf_100.csv,5,2,5733,396483,91990,5004,159081960064,6069
covtype_1vs2,imbgbt_ros_100.csv,1,1,17764,105658,118,7,448190422793,6972
covtype_1vs2,imbgbt_ros_100.csv,1,2,17972,105921,143,11,481991927533,3670
covtype_1vs2,imbgbt_ros_100.csv,2,1,17791,105573,140,3,498723777198,2941
covtype_1vs2,imbgbt_ros_100.csv,2,2,17955,105969,158,5,513899091295,2989
covtype_1vs2,imbgbt_ros_100.csv,3,1,17785,105643,103,1,510226661008,4263
covtype_1vs2,imbgbt_ros_100.csv,3,2,17964,105971,123,4,515912266219,4353
covtype_1vs2,imbgbt_ros_100.csv,4,1,17985,106065,101,5,533947085550,4549
covtype_1vs2,imbgbt_ros_100.csv,4,2,17757,105485,189,7,511576445672,4344
covtype_1vs2,imbgbt_ros_100.csv,5,1,18066,105698,125,7,538620877542,2776
covtype_1vs2,imbgbt_ros_100.csv,5,2,17676,105791,226,5,508822209629,2931
higgs_ir16,imbgbt_ros_100.csv,1,1,135452,2093329,821214,46909,2618386452432,3200
higgs_ir16,imbgbt_ros_100.csv,1,2,135087,2096213,818367,47522,2695789428776,2109
higgs_ir16,imbgbt_ros_100.csv,2,1,134761,2096241,817795,47267,2700722884835,1948
higgs_ir16,imbgbt_ros_100.csv,2,2,135646,2102478,812609,47296,2665460400477,3839
higgs_ir16,imbgbt_ros_100.csv,3,1,135593,2096666,817013,46981,2634813608802,1925
higgs_ir16,imbgbt_ros_100.csv,3,2,134990,2102588,812856,47406,2705125684827,2371
higgs_ir16,imbgbt_ros_100.csv,4,1,135538,2098761,817931,47064,2586200484634,2246
higgs_ir16,imbgbt_ros_100.csv,4,2,134954,2094028,818403,47414,2518738328831,2312
higgs_ir16,imbgbt_ros_100.csv,5,1,135319,2099863,816768,47293,2527073785717,2699
higgs_ir16,imbgbt_ros_100.csv,5,2,135057,2096364,816128,47301,2494625858254,2308
covtype_1vs3,imbbag_rus_100.csv,1,1,9151,94204,11610,1023,333340474402,9875
covtype_1vs3,imbbag_rus_100.csv,1,2,9218,94084,11942,1118,367195454783,9198
covtype_1vs3,imbbag_rus_100.csv,2,1,9121,94030,11963,952,381175139269,5572
covtype_1vs3,imbbag_rus_100.csv,2,2,9257,94309,11538,1180,402513761141,4377
covtype_1vs3,imbbag_rus_100.csv,3,1,9200,93908,11805,1008,421360415458,16754
covtype_1vs3,imbbag_rus_100.csv,3,2,9140,94272,11855,1162,427078196160,4055
covtype_1vs3,imbbag_rus_100.csv,4,1,9336,93857,12513,938,427889896270,4249
covtype_1vs3,imbbag_rus_100.csv,4,2,9120,93961,11509,1116,451775947244,7064
covtype_1vs3,imbbag_rus_100.csv,5,1,9112,94077,11993,1117,438693650383,4322
covtype_1vs3,imbbag_rus_100.csv,5,2,9281,94163,11607,1000,459866751902,4816
covtype_1vs4,imbbag_ros_100.csv,1,1,8572,104867,903,47,380543877158,8242
covtype_1vs4,imbbag_ros_100.csv,1,2,8707,105238,832,41,401112318456,6580
covtype_1vs4,imbbag_ros_100.csv,2,1,8560,105035,840,33,419638554614,6741
covtype_1vs4,imbbag_ros_100.csv,2,2,8739,105081,884,35,424999765915,6297
covtype_1vs4,imbbag_ros_100.csv,3,1,8518,104930,831,43,457316232746,6667
covtype_1vs4,imbbag_ros_100.csv,3,2,8778,105214,865,28,468148159641,6650
covtype_1vs4,imbbag_ros_100.csv,4,1,8693,105432,895,46,469383932379,3728
covtype_1vs4,imbbag_ros_100.csv,4,2,8603,104596,917,25,493199497202,3758
covtype_1vs4,imbbag_ros_100.csv,5,1,8642,105048,1018,26,454239447900,6433
covtype_1vs4,imbbag_ros_100.csv,5,2,8655,105001,773,44,486124325517,6846
susy_ir16,imbbag_ros_100.csv,1,1,61140,1108076,247903,23426,545272032905,1964
susy_ir16,imbbag_ros_100.csv,1,2,62231,1097265,258929,22826,538115199882,2995
susy_ir16,imbbag_ros_100.csv,2,1,61974,1093919,261301,22561,543042502663,1912
susy_ir16,imbbag_ros_100.csv,2,2,61937,1103894,253059,23151,533796876459,2372
susy_ir16,imbbag_ros_100.csv,3,1,60512,1120059,235137,24286,653149451539,1904
susy_ir16,imbbag_ros_100.csv,3,2,62111,1096573,260404,22714,532513203997,2007
susy_ir16,imbbag_ros_100.csv,4,1,61078,1108963,247522,23663,526980303333,2662
susy_ir16,imbbag_ros_100.csv,4,2,62586,1093173,262515,22296,524002082884,2063
susy_ir16,imbbag_ros_100.csv,5,1,62541,1090666,265952,22536,521664475781,1895
susy_ir16,imbbag_ros_100.csv,5,2,61474,1102924,252631,23072,529737891725,1835
covtype_0vs2,imbgbt_rus_100.csv,1,1,17677,137644,3857,119,447792301722,5353
covtype_0vs2,imbgbt_rus_100.csv,1,2,17837,137859,3941,121,473058754351,3433
covtype_0vs2,imbgbt_rus_100.csv,2,1,17956,137232,4127,96,490649198608,2595
covtype_0vs2,imbgbt_rus_100.csv,2,2,17627,137591,4351,75,499282191182,2499
covtype_0vs2,imbgbt_rus_100.csv,3,1,17540,137238,4141,110,518505325850,3744
covtype_0vs2,imbgbt_rus_100.csv,3,2,17996,137955,3967,108,507925973517,2610
covtype_0vs2,imbgbt_rus_100.csv,4,1,17888,137623,4258,102,518318109219,2594
covtype_0vs2,imbgbt_rus_100.csv,4,2,17654,137134,4286,110,521859141269,2631
covtype_0vs2,imbgbt_rus_100.csv,5,1,17827,137638,4149,75,525111901429,2592
covtype_0vs2,imbgbt_rus_100.csv,5,2,17773,137546,3968,79,523932920386,2697
susy_ir16,imbgbt_rus_100.csv,1,1,63097,1143641,212338,21469,1156574861613,2206
susy_ir16,imbgbt_rus_100.csv,1,2,63645,1142308,213886,21412,1172079440881,1669
susy_ir16,imbgbt_rus_100.csv,2,1,63888,1136391,218109,21216,1185727871446,2089
susy_ir16,imbgbt_rus_100.csv,2,2,63435,1141200,216473,21084,1196577303951,2965
susy_ir16,imbgbt_rus_100.csv,3,1,63160,1140509,215248,21270,1197237359435,1501
susy_ir16,imbgbt_rus_100.csv,3,2,63832,1140985,215431,21361,1185554362976,1524
susy_ir16,imbgbt_rus_100.csv,4,1,63576,1138144,218129,21219,1168348071017,1558
susy_ir16,imbgbt_rus_100.csv,4,2,63451,1142387,213513,21377,1184868707798,1512
susy_ir16,imbgbt_rus_100.csv,5,1,63619,1140449,216136,21601,1164994985720,1533
susy_ir16,imbgbt_rus_100.csv,5,2,63222,1140566,215022,21181,1191923792881,1625
covtype_1vs2,imbgbt_rus_100.csv,1,1,17767,105577,199,4,422096041456,5716
covtype_1vs2,imbgbt_rus_100.csv,1,2,17973,105799,265,10,448818484199,4901
covtype_1vs2,imbgbt_rus_100.csv,2,1,17979,105450,227,5,466626442016,2897
covtype_1vs2,imbgbt_rus_100.csv,2,2,17767,105974,189,3,483571433901,3038
covtype_1vs2,imbgbt_rus_100.csv,3,1,17810,105528,238,6,476920046734,4179
covtype_1vs2,imbgbt_rus_100.csv,3,2,17936,105865,209,2,495543895159,2890
covtype_1vs2,imbgbt_rus_100.csv,4,1,17988,106024,152,1,500096882693,2789
covtype_1vs2,imbgbt_rus_100.csv,4,2,17760,105469,195,5,503283671164,4399
covtype_1vs2,imbgbt_rus_100.csv,5,1,17918,105850,176,4,501268610844,2803
covtype_1vs2,imbgbt_rus_100.csv,5,2,17822,105620,194,10,502014960088,2767
covtype_0vs2,imbbag_ros_100.csv,1,1,17380,134298,7203,416,455420030377,6325
covtype_0vs2,imbbag_ros_100.csv,1,2,17570,134381,7419,388,493142296581,12723
covtype_0vs2,imbbag_ros_100.csv,2,1,17415,134087,7497,377,514810233957,3539
covtype_0vs2,imbbag_ros_100.csv,2,2,17562,134411,7306,400,527084771709,3453
covtype_0vs2,imbbag_ros_100.csv,3,1,17304,134040,7363,371,551924407055,5536
covtype_0vs2,imbbag_ros_100.csv,3,2,17664,134551,7347,415,547509855924,5410
covtype_0vs2,imbbag_ros_100.csv,4,1,17709,134470,7237,405,544142931096,5469
covtype_0vs2,imbbag_ros_100.csv,4,2,17249,134213,7381,391,522298912379,3427
covtype_0vs2,imbbag_ros_100.csv,5,1,17515,134503,7273,424,522157043793,3365
covtype_0vs2,imbbag_ros_100.csv,5,2,17435,134161,7364,380,515554652416,3512
covtype_0vs4,imbbag_rus_100.csv,1,1,8442,133491,8037,198,421697849662,7276
covtype_0vs4,imbbag_rus_100.csv,1,2,8555,133440,8333,172,464329928902,4145
covtype_0vs4,imbbag_rus_100.csv,2,1,8509,133326,8176,202,477396331682,3831
covtype_0vs4,imbbag_rus_100.csv,2,2,8497,133622,8177,159,511397078647,6085
covtype_0vs4,imbbag_rus_100.csv,3,1,8363,133104,8198,182,502358345497,3717
covtype_0vs4,imbbag_rus_100.csv,3,2,8647,133974,8025,175,538960898572,6089
covtype_0vs4,imbbag_rus_100.csv,4,1,8478,133781,8192,175,531562975198,6625
covtype_0vs4,imbbag_rus_100.csv,4,2,8512,133361,7967,202,522747236837,6330
covtype_0vs4,imbbag_rus_100.csv,5,1,8587,133253,8485,177,529448638323,6064
covtype_0vs4,imbbag_rus_100.csv,5,2,8394,133852,7711,209,503522153073,3786
susy_ir4,imbbag_rus_100.csv,1,1,248139,1092186,263957,90255,520015969584,2069
susy_ir4,imbbag_rus_100.csv,1,2,248480,1093473,262557,90273,543777251727,2007
susy_ir4,imbbag_rus_100.csv,2,1,248938,1089834,264510,89690,554211220976,5364
susy_ir4,imbbag_rus_100.csv,2,2,248464,1093497,264332,90055,534046073493,4328
susy_ir4,imbbag_rus_100.csv,3,1,249278,1087572,267741,89183,531090626297,4442
susy_ir4,imbbag_rus_100.csv,3,2,248591,1092646,264214,90095,533417370219,3178
susy_ir4,imbbag_rus_100.csv,4,1,248333,1092735,263281,90089,534156177642,1877
susy_ir4,imbbag_rus_100.csv,4,2,248002,1096254,259903,90723,538066903214,2071
susy_ir4,imbbag_rus_100.csv,5,1,247675,1093430,263819,90848,533444217129,3224
susy_ir4,imbbag_rus_100.csv,5,2,248390,1094256,260668,90234,518255355904,4568
covtype_1vs4,imbbag_rus_100.csv,1,1,8582,104857,913,37,359916762412,6661
covtype_1vs4,imbbag_rus_100.csv,1,2,8702,105193,877,46,385435723637,6454
covtype_1vs4,imbbag_rus_100.csv,2,1,8557,104973,902,36,405022837321,3873
covtype_1vs4,imbbag_rus_100.csv,2,2,8736,105083,882,38,437303576356,6598
covtype_1vs4,imbbag_rus_100.csv,3,1,8518,104971,790,43,430714888272,6503
covtype_1vs4,imbbag_rus_100.csv,3,2,8772,105101,978,34,451197704064,6625
covtype_1vs4,imbbag_rus_100.csv,4,1,8689,105453,874,50,445359691646,6569
covtype_1vs4,imbbag_rus_100.csv,4,2,8593,104617,896,35,435255467771,6360
covtype_1vs4,imbbag_rus_100.csv,5,1,8636,105073,993,32,473732445691,6298
covtype_1vs4,imbbag_rus_100.csv,5,2,8653,104961,813,46,460023725973,3641
